	model	lang	pairid	expected	unexpected	diff	acc
3110	yoda model	yoda	269	3.5738928079605103	3.6391232013702393	-0.06523039340972892	True
3111	yoda model	yoda	271	3.238046741485596	3.594988751411438	-0.356942009925842	True
3112	yoda model	yoda	273	2.683765721321106	3.6391232013702393	-0.9553574800491331	True
3113	yoda model	yoda	275	3.1048585414886474	3.6391232013702393	-0.5342646598815919	True
3114	yoda model	yoda	277	3.67954535484314	3.643236684799194	0.03630867004394567	False
3115	yoda model	yoda	279	3.807898998260498	3.6386789083480835	0.16922008991241455	False
3116	yoda model	yoda	281	3.532212495803833	4.032465505599975	-0.5002530097961424	True
3117	yoda model	yoda	283	3.5738928079605103	4.055524682998657	-0.48163187503814653	True
3118	yoda model	yoda	285	3.1576862573623656	4.055524682998657	-0.8978384256362912	True
3119	yoda model	yoda	287	3.658191680908203	4.032465505599975	-0.3742738246917723	True
3120	yoda model	yoda	289	3.1048585414886474	4.055524682998657	-0.9506661415100095	True
3121	yoda model	yoda	291	2.683765721321106	4.055524682998657	-1.3717589616775507	True
3122	yoda model	yoda	293	3.1194721698760985	3.6190239906311037	-0.49955182075500515	True
3123	yoda model	yoda	295	3.1576862573623656	3.713619756698608	-0.5559334993362426	True
3124	yoda model	yoda	297	3.5738928079605103	3.713619756698608	-0.13972694873809788	True
3125	yoda model	yoda	299	3.238046741485596	3.6190239906311037	-0.3809772491455079	True
3126	yoda model	yoda	301	2.683765721321106	3.713619756698608	-1.029854035377502	True
3127	yoda model	yoda	303	3.1048585414886474	3.713619756698608	-0.6087612152099608	True
3128	yoda model	yoda	305	3.5993863582611083	3.6195740699768066	-0.02018771171569833	True
3129	yoda model	yoda	307	3.732197570800781	3.618782305717468	0.1134152650833129	False
3130	yoda model	yoda	309	3.532212495803833	4.0057108163833615	-0.47349832057952845	True
3131	yoda model	yoda	311	3.5738928079605103	4.006558465957641	-0.4326656579971311	True
3132	yoda model	yoda	313	3.1576862573623656	4.006558465957641	-0.8488722085952758	True
3133	yoda model	yoda	315	3.658191680908203	4.0057108163833615	-0.34751913547515834	True
3134	yoda model	yoda	317	3.1048585414886474	4.006558465957641	-0.901699924468994	True
3135	yoda model	yoda	319	2.683765721321106	4.006558465957641	-1.3227927446365353	True
3136	yoda model	yoda	321	3.1194721698760985	3.5929805040359497	-0.47350833415985116	True
3137	yoda model	yoda	323	3.1576862573623656	3.650268793106079	-0.49258253574371347	True
3138	yoda model	yoda	325	3.5738928079605103	3.650268793106079	-0.07637598514556876	True
3139	yoda model	yoda	327	3.238046741485596	3.5929805040359497	-0.3549337625503539	True
3140	yoda model	yoda	329	2.683765721321106	3.650268793106079	-0.966503071784973	True
3141	yoda model	yoda	331	3.1048585414886474	3.650268793106079	-0.5454102516174317	True
3142	yoda model	yoda	333	2.9971115350723267	3.088948392868042	-0.09183685779571515	True
3143	yoda model	yoda	335	3.643789291381836	3.6607511043548584	-0.01696181297302246	True
3144	yoda model	yoda	337	3.549329900741577	3.1048585414886474	0.4444713592529297	False
3145	yoda model	yoda	339	3.538462018966675	3.1048585414886474	0.4336034774780275	False
3146	yoda model	yoda	341	3.549329900741577	3.5738928079605103	-0.024562907218933283	True
3147	yoda model	yoda	343	3.538462018966675	3.5738928079605103	-0.03543078899383545	True
3148	yoda model	yoda	345	3.1959904193878175	2.683765721321106	0.5122246980667113	False
3149	yoda model	yoda	347	3.569645643234253	2.683765721321106	0.8858799219131468	False
3150	yoda model	yoda	349	3.1959904193878175	3.1576862573623656	0.03830416202545184	False
3151	yoda model	yoda	351	3.569645643234253	3.1576862573623656	0.4119593858718873	False
3152	yoda model	yoda	353	3.0344846487045287	3.110546016693115	-0.07606136798858643	True
3153	yoda model	yoda	355	3.7447866439819335	3.7220380306243896	0.022748613357543856	False
3154	yoda model	yoda	357	3.575342607498169	3.1048585414886474	0.47048406600952175	False
3155	yoda model	yoda	359	3.538462018966675	3.1048585414886474	0.4336034774780275	False
3156	yoda model	yoda	361	3.575342607498169	3.5738928079605103	0.0014497995376587802	False
3157	yoda model	yoda	363	3.538462018966675	3.5738928079605103	-0.03543078899383545	True
3158	yoda model	yoda	365	3.204875040054321	2.683765721321106	0.521109318733215	False
3159	yoda model	yoda	367	3.569645643234253	2.683765721321106	0.8858799219131468	False
3160	yoda model	yoda	369	3.204875040054321	3.1576862573623656	0.04718878269195548	False
3161	yoda model	yoda	371	3.569645643234253	3.1576862573623656	0.4119593858718873	False
3162	yoda model	yoda	373	3.627698278427124	3.6116560220718386	0.016042256355285556	False
3163	yoda model	yoda	375	3.7604182243347166	3.5842200756072997	0.1761981487274169	False
3164	yoda model	yoda	377	3.532212495803833	4.031453418731689	-0.49924092292785627	True
3165	yoda model	yoda	379	3.5738928079605103	3.971675729751587	-0.39778292179107666	True
3166	yoda model	yoda	381	3.598350262641907	3.971675729751587	-0.3733254671096802	True
3167	yoda model	yoda	383	3.658191680908203	4.031453418731689	-0.37326173782348615	True
3168	yoda model	yoda	385	3.1048585414886474	3.971675729751587	-0.8668171882629396	True
3169	yoda model	yoda	387	3.1048585414886474	3.971675729751587	-0.8668171882629396	True
3170	yoda model	yoda	389	3.532212495803833	4.042152023315429	-0.5099395275115963	True
3171	yoda model	yoda	391	3.598350262641907	3.9825576305389405	-0.3842073678970337	True
3172	yoda model	yoda	393	3.5738928079605103	3.9825576305389405	-0.4086648225784302	True
3173	yoda model	yoda	395	3.658191680908203	4.042152023315429	-0.3839603424072262	True
3174	yoda model	yoda	397	3.1048585414886474	3.9825576305389405	-0.8776990890502931	True
3175	yoda model	yoda	399	3.1048585414886474	3.9825576305389405	-0.8776990890502931	True
3176	yoda model	yoda	401	3.67954535484314	3.643236684799194	0.03630867004394567	False
3177	yoda model	yoda	403	3.807898998260498	3.6386789083480835	0.16922008991241455	False
3178	yoda model	yoda	405	3.532212495803833	4.032465505599975	-0.5002530097961424	True
3179	yoda model	yoda	407	3.5738928079605103	4.055524682998657	-0.48163187503814653	True
3180	yoda model	yoda	409	3.598350262641907	4.055524682998657	-0.45717442035675004	True
3181	yoda model	yoda	411	3.658191680908203	4.032465505599975	-0.3742738246917723	True
3182	yoda model	yoda	413	3.1048585414886474	4.055524682998657	-0.9506661415100095	True
3183	yoda model	yoda	415	3.1048585414886474	4.055524682998657	-0.9506661415100095	True
3184	yoda model	yoda	417	3.532212495803833	4.061782503128052	-0.5295700073242191	True
3185	yoda model	yoda	419	3.598350262641907	4.070512056350708	-0.4721617937088012	True
3186	yoda model	yoda	421	3.5738928079605103	4.070512056350708	-0.49661924839019767	True
3187	yoda model	yoda	423	3.658191680908203	4.061782503128052	-0.403590822219849	True
3188	yoda model	yoda	425	3.1048585414886474	4.070512056350708	-0.9656535148620606	True
3189	yoda model	yoda	427	3.1048585414886474	4.070512056350708	-0.9656535148620606	True
3190	yoda model	yoda	429	3.5993863582611083	3.6195740699768066	-0.02018771171569833	True
3191	yoda model	yoda	431	3.732197570800781	3.618782305717468	0.1134152650833129	False
3192	yoda model	yoda	433	3.532212495803833	4.0057108163833615	-0.47349832057952845	True
3193	yoda model	yoda	435	3.5738928079605103	4.006558465957641	-0.4326656579971311	True
3194	yoda model	yoda	437	3.598350262641907	4.006558465957641	-0.4082082033157346	True
3195	yoda model	yoda	439	3.658191680908203	4.0057108163833615	-0.34751913547515834	True
3196	yoda model	yoda	441	3.1048585414886474	4.006558465957641	-0.901699924468994	True
3197	yoda model	yoda	443	3.1048585414886474	4.006558465957641	-0.901699924468994	True
3198	yoda model	yoda	445	3.532212495803833	4.038567471504211	-0.5063549757003782	True
3199	yoda model	yoda	447	3.598350262641907	4.0161834239959715	-0.4178331613540647	True
3200	yoda model	yoda	449	3.5738928079605103	4.0161834239959715	-0.44229061603546116	True
3201	yoda model	yoda	451	3.658191680908203	4.038567471504211	-0.3803757905960081	True
3202	yoda model	yoda	453	3.1048585414886474	4.0161834239959715	-0.9113248825073241	True
3203	yoda model	yoda	455	3.1048585414886474	4.0161834239959715	-0.9113248825073241	True
3204	yoda model	yoda	457	2.9971115350723267	3.088948392868042	-0.09183685779571515	True
3205	yoda model	yoda	459	3.643789291381836	3.6607511043548584	-0.01696181297302246	True
3206	yoda model	yoda	461	3.549329900741577	3.1048585414886474	0.4444713592529297	False
3207	yoda model	yoda	463	3.922676610946655	3.1048585414886474	0.8178180694580077	False
3208	yoda model	yoda	465	3.549329900741577	3.5738928079605103	-0.024562907218933283	True
3209	yoda model	yoda	467	3.922676610946655	3.5738928079605103	0.34878380298614475	False
3210	yoda model	yoda	469	3.558247518539429	3.1048585414886474	0.4533889770507815	False
3211	yoda model	yoda	471	3.927866792678833	3.1048585414886474	0.8230082511901857	False
3212	yoda model	yoda	473	3.558247518539429	3.598350262641907	-0.04010274410247794	True
3213	yoda model	yoda	475	3.927866792678833	3.598350262641907	0.32951653003692627	False
3214	yoda model	yoda	477	3.0344846487045287	3.110546016693115	-0.07606136798858643	True
3215	yoda model	yoda	479	3.7447866439819335	3.7220380306243896	0.022748613357543856	False
3216	yoda model	yoda	481	3.575342607498169	3.1048585414886474	0.47048406600952175	False
3217	yoda model	yoda	483	3.922676610946655	3.1048585414886474	0.8178180694580077	False
3218	yoda model	yoda	485	3.575342607498169	3.5738928079605103	0.0014497995376587802	False
3219	yoda model	yoda	487	3.922676610946655	3.5738928079605103	0.34878380298614475	False
3220	yoda model	yoda	489	3.581112432479858	3.1048585414886474	0.47625389099121085	False
3221	yoda model	yoda	491	3.927866792678833	3.1048585414886474	0.8230082511901857	False
3222	yoda model	yoda	493	3.581112432479858	3.598350262641907	-0.017237830162048606	True
3223	yoda model	yoda	495	3.927866792678833	3.598350262641907	0.32951653003692627	False
3224	yoda model	yoda	497	3.6584983348846434	3.6257787942886353	0.03271954059600812	False
3225	yoda model	yoda	499	3.7569935798645018	3.5829312086105345	0.17406237125396729	False
3226	yoda model	yoda	501	3.1455628871917725	3.5947679758071898	-0.4492050886154173	True
3227	yoda model	yoda	503	3.2056403398513793	3.659381151199341	-0.4537408113479615	True
3228	yoda model	yoda	505	3.189828610420227	3.659381151199341	-0.4695525407791137	True
3229	yoda model	yoda	507	3.2311716079711914	3.5947679758071898	-0.36359636783599836	True
3230	yoda model	yoda	509	2.683765721321106	3.659381151199341	-0.9756154298782347	True
3231	yoda model	yoda	511	2.683765721321106	3.659381151199341	-0.9756154298782347	True
3232	yoda model	yoda	513	3.1455628871917725	3.594988751411438	-0.44942586421966535	True
3233	yoda model	yoda	515	3.189828610420227	3.6391232013702393	-0.4492945909500121	True
3234	yoda model	yoda	517	3.2056403398513793	3.6391232013702393	-0.43348286151885995	True
3235	yoda model	yoda	519	3.2311716079711914	3.594988751411438	-0.3638171434402464	True
3236	yoda model	yoda	521	2.683765721321106	3.6391232013702393	-0.9553574800491331	True
3237	yoda model	yoda	523	2.683765721321106	3.6391232013702393	-0.9553574800491331	True
